word,emotion,color,orientation,sentiment,subjectivity,source
aquarium,,blue,,,,colour
aquatic,,blue,,,,colour
aqueduct,,blue,,,,colour
aqueous,,blue,,,,colour
arable,,green,,,,colour
arbiter,trust,black,,positive,,emolex
arbitrary,,,,negative,strong,opinion
arbitrate,,,active,positive,,inquirer
arbitration,anticipation,,,positive,,emolex
arbitrator,trust,,,,,emolex
arbor,,green,,,,colour
arcane,,,,negative,strong,opinion
archaeological,,brown,,,,colour
archaeologist,,brown,,,,colour
archaeology,anticipation,brown,,positive,,emolex
archaic,,grey,,negative,strong,emolex
archipelago,,green,,,,colour
architecture,trust,grey,,,,emolex
arctic,,white,,,,colour
ardent,anticipation,red,,positive,strong,emolex
ardently,,,,positive,strong,opinion
ardor,,red,,positive,strong,emolex
arduous,,,,negative,strong,emolex
arduously,,,,negative,strong,opinion
argent,,white,,,,colour
argue,anger,,active,negative,strong,emolex
argument,anger,grey,active,negative,weak,emolex
argumentation,anger,,,,,emolex
argumentative,,,,negative,strong,emolex
arguments,anger,,,negative,weak,emolex
arid,sadness,brown,,negative,,emolex
arise,,,active,,,inquirer
arisen,,,,positive,,inquirer
aristocracy,,,,positive,,emolex
aristocrat,,,,positive,,inquirer
aristocratic,,purple,,positive,weak,emolex
arithmetic,,black,,,,colour
ark,,brown,,,,colour
arm,,,active,,,inquirer
armada,,grey,,,,colour
armament,anger,,,,,emolex
armaments,fear,black,,negative,,emolex
armed,anger,,active,negative,,emolex
armor,fear,grey,,positive,,emolex
armored,fear,,,,,emolex
armory,trust,,,,,emolex
army,,green,,,,colour
aroma,,,,positive,,emolex
arose,,,active,,,inquirer
arousal,,red,,positive,strong,mpqa
arouse,anticipation,,,positive,strong,emolex
arousing,,,,positive,strong,mpqa
arraignment,anger,black,,negative,,emolex
arrange,,,active,,,inquirer
arrangement,,,active,,,inquirer
array,,,,positive,,emolex
arrears,,red,,negative,,emolex
arrest,,,active,negative,,emolex
arresting,,,,positive,strong,mpqa
arrival,anticipation,,active,,,emolex
arrive,anticipation,green,active,,,emolex
arrogance,,,,negative,strong,emolex
arrogant,anger,,,negative,strong,emolex
arrogantly,,,,negative,strong,opinion
arsenic,disgust,,,negative,,emolex
arson,anger,red,,negative,,emolex
art,anticipation,,,positive,,emolex
artery,,red,,,,colour
arthropod,,brown,,,,colour
artichoke,,green,,,,colour
